Zeile	Attribute	Bemerkung

2	TripID		Y - ID für Trip
3	MMSI 		N - eindeutige Identifikation (Funknummer) eines Schiffes

4-6	Start 		Y - Startkoordinaten und -Zeit
7-9	End			Y - Endkoordinaten und -zeit
10	StartPort	? - immer Rotterdam?!?
11	EndPort		? - erstmal behalten, da später zusammenfügen mit Hamburg/Felixstowe?!?

12	ID			N - ID des Eintrags
13	time date	Y - Zeit der Aufzeichnung / aktuelle Zeit

14	shiptype 	? - Typ des Schiffes (siehe https://help.marinetraffic.com/hc/en-us/articles/205579997-What-is-the-significance-of-the-AIS-Shiptype-number- )
15	Length		? - Länge des Schiffes
16	Breadth		? - Breite des Schiffes
17	Draught		? - Tiefgang des Schiffes

18	Latitude	Y - Ort der Aufzeichnung
19	Longitude	Y - Ort der Aufzeichnung

20	SOG			Y - Geschwindigkeit (Speed over Ground)
21	COG			Y - Kurs (course over ground)
22	TH			? - Heading / Richtung der Nase (siehe https://en.wikipedia.org/wiki/Course_(navigation) )

23	Destination	? - Endgültiges Ziel (Hamburg evtl nur Zwischenstop)

24	Name		N - Name des Schiffes (manchmal mit Logistikunternehmen)
25	Callsign	N - eigenständige Kennung des Schiffes

26	AisSourcen	? - ?????? wahrscheinlich woher die Daten stammen, Satelite oder ähnliches https://help.marinetraffic.com/hc/en-us/articles/226409747-Which-are-the-possible-sources-for-positional-data-
